Date,Region,Product,Channel,Revenue,Units,Cost,Profit,Ad Spend,Complaints,Returns
2024-09-10,West,Phone,Online,101136,84,50736.23,50399.77,2746,24,6
2024-04-22,South,Camera,Retail,7490,7,4304.95,3185.05,2988,14,2
2024-08-25,East,Headphones,Distributor,131409,93,85604.22,45804.78,9976,14,2
2024-08-31,West,Tablet,Online,64206,82,46853.95,17352.05,9540,15,10
2024-05-02,East,Headphones,Online,72864,92,41557.84,31306.16,6502,10,8
2024-02-11,South,Phone,Online,60500,50,33023.42,27476.58,4505,2,6
2024-07-27,East,Camera,Retail,30402,54,17087.45,13314.55,7883,12,9
2024-12-22,North,Camera,Retail,31372,62,24558.71,6813.29,5892,24,6
2024-08-02,South,Headphones,Online,33110,35,21378.88,11731.12,7371,10,10
2024-12-13,West,Phone,Retail,19329,17,12761.72,6567.28,7455,18,9
2024-12-05,North,Laptop,Distributor,35090,55,26670.34,8419.66,3977,1,4
2024-07-13,East,Phone,Retail,35490,42,25849.81,9640.19,7211,8,6
2024-05-09,North,Headphones,Online,100992,96,52074.07,48917.93,6733,7,10
2024-02-05,North,Laptop,Online,35334,26,17883.03,17450.97,3496,7,2
2024-08-30,North,Camera,Online,72960,60,42088.66,30871.34,7043,5,9
2024-11-06,North,Phone,Retail,15288,14,7761.77,7526.23,6111,18,10
2024-07-11,West,Phone,Online,91732,76,68723.0,23009.0,4978,3,4
2024-12-16,North,Camera,Online,47025,45,29555.84,17469.16,7071,2,8
2024-11-27,East,Laptop,Retail,38304,63,24133.7,14170.3,6934,20,7
2024-12-28,South,Headphones,Online,97196,94,76750.06,20445.94,5425,19,8
2024-09-04,West,Headphones,Distributor,58824,76,35099.77,23724.23,5022,26,1
2024-05-22,West,Phone,Retail,82052,73,57473.86,24578.14,6511,0,7
2024-06-15,South,Headphones,Online,60536,46,34959.89,25576.11,5581,28,9
2024-12-25,East,Camera,Online,98490,67,54890.14,43599.86,4954,23,6
2024-09-07,South,Headphones,Distributor,92184,92,58486.36,33697.64,1282,2,4
2024-04-23,West,Phone,Retail,93075,85,56841.47,36233.53,9698,11,6
2024-10-08,East,Tablet,Distributor,45843,59,27138.46,18704.54,4777,3,3
2024-06-10,North,Camera,Distributor,16704,24,9436.35,7267.65,8933,8,9
2024-09-25,East,Laptop,Online,27816,38,16919.48,10896.52,5952,0,8
2024-03-05,East,Laptop,Online,56729,71,40233.64,16495.36,3068,20,7
2024-02-22,North,Camera,Retail,60390,61,38174.97,22215.03,4020,30,0
2024-05-09,West,Laptop,Online,52156,52,27237.15,24918.85,1878,4,2
2024-10-15,East,Laptop,Online,17136,16,12497.85,4638.15,4697,24,8
2024-07-13,West,Headphones,Retail,71364,76,42219.95,29144.05,1986,19,1
2024-04-16,South,Tablet,Distributor,7260,11,4152.43,3107.57,2229,5,0
2024-07-28,West,Camera,Retail,20254,38,11533.5,8720.5,5632,22,7
2024-02-06,South,Tablet,Distributor,89452,76,66299.29,23152.71,4241,13,1
2024-10-05,South,Phone,Retail,10887,19,5638.28,5248.72,6039,19,9
2024-05-27,West,Laptop,Retail,72179,89,51241.32,20937.68,5460,16,8
2024-09-09,West,Laptop,Distributor,8460,6,5326.49,3133.51,6280,19,4
2024-01-14,North,Phone,Distributor,81474,74,63976.31,17497.69,5415,18,0
2024-03-30,West,Camera,Distributor,81966,57,47822.81,34143.19,8141,20,7
2024-02-16,West,Tablet,Retail,35604,43,24959.83,10644.17,3634,10,6
2024-12-21,West,Tablet,Distributor,69316,52,50472.44,18843.56,1601,14,1
2024-06-10,East,Tablet,Online,90387,99,68646.5,21740.5,1018,21,8
2024-08-24,West,Laptop,Online,58290,67,40033.0,18257.0,9167,20,7
2024-01-27,South,Tablet,Distributor,24633,17,14445.01,10187.99,8941,3,0
2024-11-18,South,Phone,Retail,36494,71,24293.16,12200.84,2527,7,1
2024-08-24,North,Phone,Retail,73416,92,47915.8,25500.2,5479,13,7
2024-08-29,South,Headphones,Distributor,16948,19,9443.14,7504.86,9327,23,2
2024-02-05,East,Headphones,Retail,50245,65,37491.05,12753.95,5634,23,4
2024-10-27,West,Phone,Retail,68655,69,41435.85,27219.15,9903,12,7
2024-06-13,South,Phone,Distributor,36950,50,27963.9,8986.1,7730,1,5
2024-08-30,West,Headphones,Distributor,55020,84,35685.89,19334.11,1606,4,8
2024-10-29,East,Laptop,Retail,13494,13,10432.65,3061.35,1251,23,2
2024-07-28,South,Laptop,Retail,28764,34,19760.23,9003.77,7512,20,1
2024-06-17,West,Tablet,Distributor,129536,92,94278.96,35257.04,9864,1,9
2024-02-05,South,Tablet,Online,56832,96,35815.04,21016.96,2612,24,10
2024-12-26,North,Headphones,Online,71734,89,55308.87,16425.13,1753,10,0
2024-05-30,East,Tablet,Retail,14250,19,9395.74,4854.26,3950,5,2
2024-02-10,West,Camera,Distributor,31279,31,24205.21,7073.79,3344,7,7
2024-11-22,East,Headphones,Retail,43774,86,33691.65,10082.35,8622,28,4
2024-12-12,South,Laptop,Retail,49545,45,29218.98,20326.02,7951,22,4
2024-08-21,East,Phone,Retail,37758,62,21565.92,16192.08,6881,18,4
2024-12-24,East,Laptop,Distributor,39831,51,20012.27,19818.73,1803,29,9
2024-09-11,East,Phone,Distributor,33304,46,23012.58,10291.42,5106,21,10
2024-12-14,South,Laptop,Distributor,44820,83,26563.91,18256.09,8222,1,9
2024-07-05,South,Laptop,Retail,53130,42,33187.7,19942.3,4289,4,8
2024-07-06,East,Phone,Retail,92380,62,68541.02,23838.98,6549,25,1
2024-08-27,North,Phone,Online,107967,87,75827.59,32139.41,7511,30,8
2024-07-06,North,Headphones,Online,35666,34,19155.37,16510.63,7038,21,10
2024-05-14,West,Tablet,Online,64293,87,41240.3,23052.7,6374,29,9
2024-04-23,North,Headphones,Distributor,45396,39,28258.5,17137.5,3290,1,0
2024-06-04,West,Laptop,Online,43648,31,28862.85,14785.15,7367,14,5
2024-12-09,West,Camera,Distributor,61852,94,47355.38,14496.62,2622,26,7
2024-11-11,West,Tablet,Online,78231,89,44214.67,34016.33,8285,30,3
2024-07-04,North,Tablet,Distributor,71961,83,37287.67,34673.33,5520,6,1
2024-08-20,North,Phone,Distributor,91102,82,72091.56,19010.44,1828,25,5
2024-05-04,South,Camera,Online,12141,9,8857.43,3283.57,4394,18,3
2024-04-29,East,Phone,Distributor,783,1,593.14,189.86,3370,4,8
2024-05-08,South,Laptop,Distributor,2536,4,1279.31,1256.69,4898,18,5
2024-01-09,South,Tablet,Online,21403,17,13404.45,7998.55,2862,23,1
2024-08-31,West,Tablet,Distributor,46436,76,29514.8,16921.2,4629,30,9
2024-01-23,East,Headphones,Distributor,2248,4,1797.45,450.55,7580,13,10
2024-02-25,West,Headphones,Online,9119,11,6223.62,2895.38,2076,4,4
2024-11-15,East,Headphones,Distributor,54468,68,34647.89,19820.11,8048,3,1
2024-12-01,South,Headphones,Retail,27690,30,16660.5,11029.5,8430,12,6
2024-02-18,East,Headphones,Retail,65446,86,40071.95,25374.05,3500,21,7
2024-02-04,North,Laptop,Online,33488,56,24224.44,9263.56,7105,25,2
2024-10-11,North,Camera,Distributor,60264,72,42245.3,18018.7,7730,11,10
2024-08-04,North,Tablet,Distributor,34400,40,18269.16,16130.84,9313,6,2
2024-12-02,West,Phone,Online,61425,45,40963.08,20461.92,2882,24,4
2024-10-20,South,Headphones,Distributor,132462,99,90937.43,41524.57,1430,19,10
2024-12-21,East,Laptop,Online,42665,35,31090.96,11574.04,6567,11,0
2024-04-02,South,Camera,Distributor,29692,52,16109.76,13582.24,1502,2,8
2024-04-20,West,Headphones,Retail,29084,44,17770.79,11313.21,6314,24,9
2024-11-01,North,Laptop,Online,26712,21,18307.11,8404.89,2336,8,7
2024-12-04,West,Headphones,Distributor,52668,57,30650.15,22017.85,9394,3,5
2024-08-08,North,Tablet,Distributor,96309,87,62214.63,34094.37,6053,1,3
2024-07-21,North,Laptop,Online,57252,39,32254.07,24997.93,3248,24,4
2024-05-28,East,Laptop,Online,80896,64,50899.48,29996.52,3116,12,8
2024-12-26,South,Camera,Distributor,113950,86,69082.2,44867.8,7505,27,0
2024-08-11,North,Headphones,Online,44649,41,28074.63,16574.37,7626,22,10
2024-08-01,East,Laptop,Retail,4467,3,2668.72,1798.28,8538,26,5
2024-02-15,West,Laptop,Online,61768,56,38304.5,23463.5,2288,12,4
2024-06-22,South,Tablet,Online,10220,10,7051.47,3168.53,9693,16,3
2024-06-27,East,Phone,Online,9086,14,5240.72,3845.28,3842,19,2
2024-12-01,North,Phone,Distributor,62400,64,45323.23,17076.77,8354,21,9
2024-11-25,East,Tablet,Online,32433,57,20779.06,11653.94,5961,25,4
2024-10-29,North,Tablet,Distributor,8170,10,5216.73,2953.27,1616,1,5
2024-05-26,North,Laptop,Distributor,78463,77,48281.79,30181.21,1672,14,9
2024-11-29,South,Tablet,Distributor,61793,61,33693.15,28099.85,2013,14,1
2024-06-24,North,Camera,Distributor,12420,23,7133.09,5286.91,8172,14,8
2024-09-24,South,Tablet,Retail,33152,37,20641.46,12510.54,6543,21,9
2024-01-27,East,Laptop,Retail,13923,13,9795.02,4127.98,5655,8,10
2024-11-04,South,Tablet,Online,88425,75,47964.24,40460.76,6731,9,10
2024-12-23,West,Phone,Distributor,132860,91,69806.73,63053.27,7171,20,5
2024-03-06,North,Headphones,Distributor,24346,47,14821.34,9524.66,3953,30,3
2024-06-23,West,Phone,Online,11844,18,6196.18,5647.82,2657,16,8
2024-09-26,North,Tablet,Distributor,18887,17,11578.03,7308.97,3658,5,9
2024-03-25,West,Laptop,Retail,56024,47,40106.22,15917.78,8277,19,4
2024-08-17,South,Camera,Online,59520,40,44198.79,15321.21,8684,28,3
2024-07-07,West,Headphones,Retail,89100,100,57992.7,31107.3,7859,30,2
2024-04-12,South,Tablet,Online,82336,83,62759.39,19576.61,2680,22,8
2024-03-04,East,Laptop,Online,33600,35,25925.49,7674.51,3414,26,6
2024-02-16,South,Headphones,Retail,3696,4,1907.05,1788.95,9224,11,3
2024-07-16,North,Tablet,Online,3304,4,2574.63,729.37,6493,25,2
2024-03-11,North,Tablet,Retail,121590,90,65857.74,55732.26,8685,14,9
2024-01-03,North,Laptop,Retail,37940,28,20671.83,17268.17,9647,13,1
2024-05-27,South,Tablet,Online,5208,7,3259.94,1948.06,8489,2,1
2024-09-12,North,Camera,Distributor,38285,31,20791.55,17493.45,8032,0,9
2024-06-29,South,Camera,Retail,28320,24,19837.15,8482.85,9576,11,1
2024-09-26,North,Headphones,Retail,6900,6,4250.84,2649.16,7116,8,0
2024-07-01,North,Tablet,Online,110168,94,75848.14,34319.86,6447,4,0
2024-06-29,East,Phone,Distributor,72720,60,46799.64,25920.36,3986,25,2
2024-02-02,West,Laptop,Retail,14144,26,10428.83,3715.17,1686,10,4
2024-09-20,West,Camera,Retail,17721,33,12865.22,4855.78,4131,9,5
2024-01-25,East,Tablet,Online,45456,48,34857.75,10598.25,8204,28,6
2024-06-22,South,Headphones,Distributor,56064,64,43578.16,12485.84,9507,8,1
2024-08-05,North,Headphones,Distributor,25392,24,14933.8,10458.2,2680,2,5
2024-12-04,East,Tablet,Retail,96252,78,60430.36,35821.64,8272,11,7
2024-01-22,East,Camera,Retail,41544,36,32986.28,8557.72,1939,2,10
2024-11-22,West,Tablet,Distributor,114720,96,62866.1,51853.9,1510,4,9
2024-12-13,West,Laptop,Online,6669,9,4892.08,1776.92,7001,11,6
2024-10-17,North,Camera,Online,83520,87,65533.72,17986.28,7095,14,1
2024-10-20,South,Camera,Retail,41871,51,29094.83,12776.17,5089,30,1
2024-01-14,South,Headphones,Distributor,71750,50,47965.01,23784.99,5288,24,4
2024-12-26,West,Phone,Distributor,44770,37,34694.23,10075.77,9047,6,1
2024-03-10,North,Headphones,Online,87860,92,70215.84,17644.16,6236,21,5
2024-12-29,North,Camera,Distributor,53656,38,31656.34,21999.66,3580,22,10
2024-03-30,East,Camera,Online,11280,16,8320.35,2959.65,4878,25,7
2024-01-14,East,Camera,Distributor,46944,48,34790.13,12153.87,3126,19,1
2024-02-03,East,Headphones,Distributor,92070,93,60555.24,31514.76,7708,26,9
2024-02-07,South,Tablet,Distributor,9600,10,6141.6,3458.4,9476,11,2
2024-10-09,South,Phone,Retail,93080,65,70783.94,22296.06,3034,16,2
2024-06-04,South,Phone,Retail,66430,91,40110.89,26319.11,9501,28,4
2024-02-10,East,Phone,Distributor,55451,71,29807.75,25643.25,5961,19,8
2024-02-17,South,Camera,Distributor,13500,20,9417.87,4082.13,6531,26,9
2024-01-22,North,Laptop,Online,106987,83,72005.61,34981.39,4453,24,9
2024-08-01,North,Headphones,Distributor,55720,70,38590.12,17129.88,5949,15,3
2024-12-16,West,Tablet,Retail,12050,10,6241.59,5808.41,8202,13,7
2024-08-25,South,Tablet,Distributor,15580,19,11816.58,3763.42,6231,23,5
2024-07-23,South,Tablet,Distributor,43776,72,26078.89,17697.11,8642,3,4
2024-08-18,South,Phone,Online,5579,7,4371.79,1207.21,7850,7,2
2024-06-16,East,Phone,Online,65728,64,42068.85,23659.15,6055,15,0
2024-02-16,West,Camera,Retail,22320,31,15066.07,7253.93,1797,1,4
2024-09-10,West,Tablet,Distributor,2734,2,1455.17,1278.83,3194,28,4
2024-07-06,West,Tablet,Online,28704,52,19262.81,9441.19,4189,11,8
2024-05-27,North,Headphones,Distributor,74356,58,49443.55,24912.45,2946,4,1
2024-07-20,East,Tablet,Distributor,59831,47,32505.0,27326.0,9341,12,8
2024-01-21,North,Laptop,Online,77372,92,57347.33,20024.67,9508,14,2
2024-11-06,South,Tablet,Distributor,27306,41,16872.01,10433.99,5902,18,5
2024-09-16,West,Camera,Retail,81435,61,41123.95,40311.05,6427,21,1
2024-08-01,East,Laptop,Distributor,47031,61,37160.19,9870.81,4728,23,0
2024-10-25,West,Phone,Distributor,100278,81,68782.76,31495.24,7229,4,10
2024-05-04,North,Camera,Distributor,10425,15,5271.73,5153.27,6139,13,2
2024-07-30,South,Headphones,Distributor,112600,100,87395.2,25204.8,2020,22,2
2024-09-22,South,Camera,Retail,84065,85,55284.77,28780.23,6140,30,2
2024-08-23,East,Camera,Retail,112230,87,85328.06,26901.94,5331,19,7
2024-04-08,South,Tablet,Distributor,28470,39,22276.23,6193.77,5876,24,4
2024-12-26,South,Headphones,Retail,53134,62,35501.28,17632.72,5480,9,1
2024-10-20,West,Headphones,Retail,130977,99,71244.0,59733.0,1689,9,1
2024-06-26,West,Tablet,Distributor,44578,62,24991.34,19586.66,9824,8,8
2024-12-22,East,Phone,Online,99382,79,67187.12,32194.88,4972,1,10
2024-09-28,South,Phone,Online,11999,13,7188.46,4810.54,8739,3,10
2024-03-11,North,Camera,Online,61904,53,48316.67,13587.33,8793,15,10
2024-04-12,East,Tablet,Retail,46480,83,35900.27,10579.73,2465,20,9
2024-04-28,North,Phone,Retail,33488,23,25983.02,7504.98,7504,25,7
2024-04-05,East,Laptop,Online,42159,39,28703.32,13455.68,6489,9,7
2024-11-24,West,Phone,Distributor,46740,60,26073.6,20666.4,2845,10,2
2024-08-22,East,Phone,Online,80275,95,59181.16,21093.84,4164,5,9
2024-11-23,West,Headphones,Distributor,24696,42,15317.69,9378.31,2562,5,2
2024-09-01,East,Phone,Online,30328,34,17306.87,13021.13,5374,30,5
2024-06-03,North,Tablet,Distributor,56823,47,32439.73,24383.27,2936,14,4
2024-03-22,West,Camera,Distributor,80982,99,57261.33,23720.67,5833,11,9
2024-04-23,South,Phone,Retail,19300,20,13979.38,5320.62,7121,13,8
2024-08-29,South,Phone,Distributor,107670,97,82038.14,25631.86,2341,16,7
2024-09-27,East,Laptop,Distributor,8445,15,6322.2,2122.8,9281,6,9
2024-10-01,South,Phone,Retail,63784,67,34116.28,29667.72,4365,22,9
2024-09-07,North,Camera,Retail,7712,8,4161.27,3550.73,7806,14,9
2024-01-30,West,Tablet,Distributor,2715,3,1564.76,1150.24,1049,23,3
2024-10-23,North,Laptop,Retail,54765,45,28430.04,26334.96,1987,29,1
2024-08-29,North,Tablet,Retail,30888,24,16698.94,14189.06,7887,11,6
2024-08-17,West,Headphones,Online,130856,88,91407.86,39448.14,9835,4,10
2024-06-27,North,Phone,Distributor,53091,51,28573.8,24517.2,4648,26,0
2024-01-12,East,Headphones,Distributor,98301,93,61658.16,36642.84,7214,26,3
2024-05-06,West,Tablet,Online,24948,36,19489.95,5458.05,2848,1,10
2024-08-02,North,Phone,Online,5427,9,3680.5,1746.5,8314,19,10
2024-12-26,North,Phone,Distributor,5466,6,3452.81,2013.19,9843,6,0
2024-03-12,East,Phone,Distributor,61124,74,41151.27,19972.73,6253,7,4
2024-03-14,South,Headphones,Retail,20232,36,13495.06,6736.94,3869,20,10
2024-08-06,West,Laptop,Retail,98521,83,60526.02,37994.98,9592,10,6
2024-07-28,South,Tablet,Retail,30528,24,20190.56,10337.44,4948,27,3
2024-06-02,South,Headphones,Online,66384,72,52465.66,13918.34,9683,4,6
2024-05-04,East,Phone,Retail,48140,83,37388.79,10751.21,7079,2,8
2024-04-07,North,Tablet,Retail,97353,87,66285.38,31067.62,2192,6,9
2024-12-09,South,Headphones,Online,34830,43,27414.9,7415.1,1251,6,3
2024-03-01,West,Phone,Distributor,95160,78,53418.44,41741.56,4921,17,5
2024-05-24,West,Headphones,Distributor,72828,84,43152.53,29675.47,6892,16,7
2024-08-26,North,Headphones,Retail,23733,27,14094.47,9638.53,1749,18,3
2024-03-15,North,Tablet,Distributor,81975,75,58694.39,23280.61,5836,4,3
2024-06-17,South,Headphones,Distributor,32352,32,21520.32,10831.68,6530,8,7
2024-11-24,West,Headphones,Online,123516,94,74807.82,48708.18,3293,23,8
2024-09-07,South,Camera,Distributor,8288,8,4228.1,4059.9,2217,30,10
2024-01-25,North,Headphones,Online,59616,81,31023.59,28592.41,3474,0,3
2024-09-15,West,Tablet,Online,92240,80,64570.44,27669.56,8916,21,7
2024-01-09,North,Camera,Distributor,27136,53,13704.16,13431.84,5501,17,4
2024-01-09,West,Phone,Online,13468,13,7335.61,6132.39,4144,19,8
2024-05-09,East,Tablet,Retail,9702,11,7643.13,2058.87,8520,18,3
2024-12-22,South,Tablet,Distributor,12859,11,10255.08,2603.92,1519,2,6
2024-07-13,West,Camera,Retail,9216,8,4634.13,4581.87,3807,2,7
2024-08-10,East,Camera,Online,97988,68,50244.87,47743.13,4463,28,9
2024-08-31,East,Laptop,Online,127336,88,74378.47,52957.53,9897,18,10
2024-01-17,South,Tablet,Online,29727,27,16149.41,13577.59,7525,29,1
2024-06-02,South,Camera,Online,98842,73,74609.18,24232.82,9856,10,6
2024-03-12,North,Camera,Distributor,24930,45,13195.59,11734.41,4803,26,1
2024-06-23,West,Tablet,Online,63878,82,46954.45,16923.55,8381,15,3
2024-07-01,West,Headphones,Online,96712,88,67524.47,29187.53,2404,24,9
2024-05-31,South,Laptop,Online,22995,35,14118.93,8876.07,3527,23,6
2024-06-11,East,Laptop,Online,1465,1,867.98,597.02,6896,24,4
2024-02-22,South,Laptop,Online,53704,56,35825.7,17878.3,9395,13,1
2024-01-14,North,Tablet,Distributor,13332,12,9057.94,4274.06,6315,27,6
2024-01-07,East,Headphones,Retail,58600,100,42042.75,16557.25,4977,18,8
2024-03-27,West,Phone,Online,28280,35,16417.16,11862.84,3390,2,2
2024-08-10,East,Headphones,Retail,80662,62,42192.39,38469.61,5123,30,3
2024-11-16,West,Camera,Distributor,25168,26,13391.68,11776.32,5991,0,6
2024-06-19,West,Tablet,Retail,40420,43,30098.46,10321.54,3230,9,5
2024-11-04,South,Headphones,Retail,34201,23,21186.56,13014.44,6228,9,10
2024-09-08,South,Tablet,Retail,48096,36,35387.11,12708.89,6980,3,9
2024-04-12,South,Camera,Online,91368,94,71531.32,19836.68,4434,14,4
2024-12-20,North,Headphones,Distributor,41088,64,28350.75,12737.25,4965,8,10
2024-03-19,West,Headphones,Online,64496,58,41520.62,22975.38,7566,17,8
2024-12-20,West,Camera,Online,57246,47,44002.16,13243.84,9796,19,10
2024-02-13,North,Phone,Distributor,74218,86,40812.59,33405.41,1725,18,10
2024-12-12,West,Tablet,Retail,7140,14,3781.22,3358.78,4637,16,8
2024-10-12,South,Headphones,Retail,49674,51,36346.6,13327.4,9199,4,5
2024-01-13,West,Laptop,Retail,77868,54,61400.35,16467.65,2901,26,2
2024-06-27,East,Tablet,Retail,27891,27,17986.29,9904.71,8801,3,7
2024-12-22,West,Tablet,Online,21255,39,15793.65,5461.35,2885,0,5
2024-11-27,North,Phone,Distributor,32896,32,18169.64,14726.36,3623,10,8
2024-08-06,West,Phone,Retail,55728,81,30980.09,24747.91,8080,12,0
2024-11-10,South,Headphones,Distributor,49390,55,24760.94,24629.06,4519,6,4
2024-12-26,North,Camera,Online,47679,69,29071.69,18607.31,4228,14,1
2024-05-14,West,Camera,Distributor,45551,41,28086.37,17464.63,7431,18,1
2024-06-27,East,Headphones,Distributor,30659,23,21524.97,9134.03,5873,29,9
2024-10-29,North,Phone,Retail,11904,16,7042.57,4861.43,3999,11,2
2024-09-18,West,Headphones,Distributor,19584,18,12046.37,7537.63,4043,15,10
2024-10-02,South,Camera,Online,50085,63,27150.53,22934.47,6154,26,7
2024-11-13,North,Tablet,Online,40257,63,22485.09,17771.91,7290,30,8
2024-09-15,West,Headphones,Distributor,58275,63,41552.56,16722.44,8272,15,2
2024-02-12,North,Phone,Retail,3905,5,2215.9,1689.1,5729,5,7
2024-10-16,West,Camera,Distributor,16290,15,8703.13,7586.87,9898,26,5
2024-10-04,North,Headphones,Distributor,26180,28,13894.38,12285.62,5055,9,0
2024-08-18,East,Tablet,Online,79002,57,63058.39,15943.61,4882,6,9
2024-12-18,East,Camera,Distributor,36795,55,25198.89,11596.11,4385,26,3
2024-01-31,East,Camera,Retail,80927,77,44551.38,36375.62,5794,9,9
2024-05-16,North,Phone,Retail,6264,8,4761.36,1502.64,3078,22,2
2024-05-07,South,Tablet,Online,133574,98,93885.21,39688.79,9019,4,9
2024-11-19,East,Headphones,Retail,33466,58,23094.5,10371.5,2525,12,8
2024-05-22,East,Headphones,Retail,45990,42,23029.12,22960.88,2526,23,7
2024-11-21,East,Laptop,Distributor,36873,51,29145.84,7727.16,4470,15,4
2024-06-14,East,Tablet,Distributor,46842,74,31376.77,15465.23,8951,25,5
2024-12-15,North,Laptop,Online,105462,81,79203.09,26258.91,1266,3,2
2024-08-13,West,Laptop,Retail,31330,26,24212.52,7117.48,5945,5,4
2024-02-17,East,Tablet,Online,56640,48,43677.37,12962.63,3711,1,6
2024-11-16,East,Phone,Retail,49812,84,35421.78,14390.22,1017,6,7
2024-02-09,South,Camera,Online,80132,67,50765.23,29366.77,1132,22,5
2024-03-02,West,Phone,Retail,7340,10,4513.52,2826.48,2678,3,5
2024-07-07,East,Phone,Retail,133200,100,96696.19,36503.81,3181,20,10
2024-03-14,North,Camera,Distributor,2248,2,1562.37,685.63,8210,11,3
2024-11-17,South,Headphones,Distributor,83864,88,63567.97,20296.03,2420,28,1
2024-03-12,North,Camera,Distributor,42950,50,33886.46,9063.54,6152,25,2
2024-05-06,East,Laptop,Online,79165,71,53832.39,25332.61,5668,24,0
2024-12-03,East,Phone,Distributor,79638,78,44326.03,35311.97,7418,9,10
2024-01-28,South,Headphones,Retail,11190,15,7272.1,3917.9,2163,16,0
